timestamp, frame, x, y, z, qx, qy, qz, qw
1968364.329824833, 001022, 0.08096577, 0.23857659, 0.5430568, 0.5635528, -0.6495464, -0.4052235, 0.31030926
1968364.346493166, 001023, 0.0853438, 0.2396786, 0.54537636, 0.56115806, -0.65016395, -0.40858677, 0.30894244
1968364.363161458, 001024, 0.08975663, 0.24072959, 0.5477223, 0.55861527, -0.6506774, -0.41213837, 0.3077498
1968364.379829833, 001025, 0.09417288, 0.24174446, 0.55009717, 0.5564068, -0.65104103, -0.41538793, 0.30661082
1968364.39649825, 001026, 0.098205306, 0.24269319, 0.55149907, 0.5544798, -0.6513349, -0.41832805, 0.3054779
1968364.413166625, 001027, 0.10255761, 0.24363461, 0.5535046, 0.552619, -0.651652, -0.4212955, 0.30409217
1968364.429835041, 001028, 0.10705475, 0.24457921, 0.5556718, 0.5505663, -0.6519549, -0.42451945, 0.30267936
1968364.446503375, 001029, 0.11160539, 0.24552771, 0.55784625, 0.5482068, -0.6521877, -0.42797917, 0.30158636
1968364.463171833, 001030, 0.11615135, 0.24649148, 0.5599949, 0.54565084, -0.6524087, -0.4314916, 0.3007376
1968364.479840125, 001031, 0.1206605, 0.24749005, 0.56214994, 0.5431752, -0.6527928, -0.43469796, 0.29976666
1968364.496508458, 001032, 0.12567945, 0.24854796, 0.5639587, 0.54090106, -0.6533471, -0.4375521, 0.29851615
1968364.513176833, 001033, 0.13030255, 0.24965203, 0.56599027, 0.5388373, -0.65399617, -0.44012052, 0.2970478
1968364.52984525, 001034, 0.13476865, 0.25080746, 0.5680454, 0.53680205, -0.65486723, -0.44220486, 0.29571524
1968364.546513625, 001035, 0.13911009, 0.25199163, 0.5700627, 0.53476405, -0.655554, -0.4441278, 0.29500338
1968364.563182, 001036, 0.14334129, 0.25317422, 0.5720705, 0.5328206, -0.6559533, -0.44600758, 0.29479605
1968364.579850375, 001037, 0.14750977, 0.25434598, 0.57412374, 0.5310332, -0.65608114, -0.44809717, 0.2945679
1968364.59651875, 001038, 0.15229899, 0.25564617, 0.57547307, 0.5290738, -0.656355, -0.45042774, 0.2939284
1968364.613187166, 001039, 0.1566925, 0.25680768, 0.5773804, 0.52692735, -0.6569704, -0.4530005, 0.29245183
1968364.629855375, 001040, 0.16094086, 0.25791532, 0.57949317, 0.52447605, -0.658033, -0.45567617, 0.29030454
1968364.64652375, 001041, 0.16504899, 0.25901237, 0.58167696, 0.5219059, -0.65922976, -0.45834753, 0.28800714
1968364.663192166, 001042, 0.1689997, 0.2601388, 0.58389753, 0.5196186, -0.66020226, -0.46091107, 0.28581557
1968364.6798605, 001043, 0.17283592, 0.26131225, 0.58614665, 0.5177506, -0.6610444, -0.46315113, 0.28362966
1968364.696529, 001044, 0.17556639, 0.26224914, 0.5871391, 0.5158311, -0.6620635, -0.46505484, 0.28162786
1968364.713197291, 001045, 0.17896184, 0.2633715, 0.58884895, 0.51361233, -0.66318184, -0.46687314, 0.28003863
1968364.72986575, 001046, 0.18253562, 0.26453328, 0.5907329, 0.51119184, -0.66414833, -0.46876216, 0.2790196
1968364.746534125, 001047, 0.18613903, 0.26570064, 0.59269375, 0.5089825, -0.66482204, -0.47077417, 0.27806535
1968364.763202416, 001048, 0.18976633, 0.26686662, 0.5947093, 0.50699836, -0.6653985, -0.47294307, 0.27662697
1968364.779870791, 001049, 0.19344586, 0.2679841, 0.5967149, 0.5047841, -0.6663596, -0.47512692, 0.27461302
1968364.796539125, 001050, 0.19594017, 0.2693181, 0.5979525, 0.5020199, -0.66798925, -0.47699898, 0.27246717
1968364.813207583, 001051, 0.19920471, 0.27045256, 0.5995716, -0.49894843, 0.66975987, 0.47890234, -0.27041587
1968364.829875916, 001052, 0.20266695, 0.27153915, 0.6013312, -0.49610135, 0.6712567, 0.48083812, -0.2685007
1968364.846544291, 001053, 0.20615536, 0.27262375, 0.60316885, -0.4936013, 0.67224336, 0.4830387, -0.26668388
1968364.863212708, 001054, 0.20965493, 0.27369866, 0.6050401, -0.49111906, 0.6730568, 0.48544472, -0.26483956
1968364.879881041, 001055, 0.21316616, 0.27475038, 0.6069305, -0.48833513, 0.6741729, 0.48782626, -0.26276463
1968364.896549458, 001056, 0.21461828, 0.27594048, 0.6081594, -0.48557574, 0.6755547, 0.4899365, -0.26039273
1968364.91321775, 001057, 0.21737255, 0.27703497, 0.60986346, -0.482888, 0.6769394, 0.49211168, -0.25767872
1968364.929886083, 001058, 0.22049527, 0.27809256, 0.6117093, -0.4802578, 0.6781492, 0.4944051, -0.2550093
1968364.946554458, 001059, 0.22368582, 0.27912432, 0.61359775, -0.4776018, 0.6791504, 0.4968412, -0.25258687
1968364.963222916, 001060, 0.22685, 0.28014526, 0.6155363, -0.47507155, 0.6798626, 0.49945253, -0.25028184
1968364.97989125, 001061, 0.22996631, 0.2811749, 0.61753345, -0.47277528, 0.68044186, 0.5020242, -0.2478995
1968364.996559583, 001062, 0.23108618, 0.28209212, 0.61865705, -0.47072288, 0.68109185, 0.5042291, -0.24553399
1968365.013228, 001063, 0.23342682, 0.28303528, 0.62040085, -0.46874037, 0.6817681, 0.5065556, -0.24264425
1968365.029896375, 001064, 0.23613428, 0.28395307, 0.622346, -0.46670705, 0.6826523, 0.5088059, -0.23934722
1968365.046564708, 001065, 0.23891863, 0.2848503, 0.624345, -0.46455213, 0.68361783, 0.5110466, -0.23598598
1968365.063233083, 001066, 0.2416781, 0.28572717, 0.62633973, -0.46237397, 0.6844673, 0.5133325, -0.2328188
1968365.079901416, 001067, 0.24436921, 0.28658202, 0.6283032, -0.46027625, 0.6849437, 0.5158271, -0.2300441
1968365.096569875, 001068, 0.24281469, 0.2868583, 0.62879586, -0.45852605, 0.6852463, 0.51805884, -0.22761045
1968365.113238208, 001069, 0.24390912, 0.2874423, 0.6302377, -0.45698443, 0.6856425, 0.5200578, -0.22494368
1968365.129906625, 001070, 0.2458015, 0.2880885, 0.6319833, -0.4557669, 0.68606883, 0.5218566, -0.22192764
1968365.146574958, 001071, 0.2479249, 0.28873208, 0.6337748, -0.45463094, 0.6865703, 0.52352506, -0.21875443
1968365.163243416, 001072, 0.25009984, 0.2893496, 0.6354817, -0.45320827, 0.6873143, 0.5250013, -0.2158126
1968365.179911791, 001073, 0.25225756, 0.28994608, 0.6370949, -0.45163396, 0.68820214, 0.5262512, -0.21322383
1968365.19658, 001074, 0.25012964, 0.2895921, 0.6370437, -0.45042512, 0.68888545, 0.52732354, -0.21091242
1968365.213248541, 001075, 0.25077546, 0.28986764, 0.63807344, -0.4495076, 0.68924594, 0.5285444, -0.20862353
1968365.229916791, 001076, 0.2523129, 0.2903271, 0.6393981, -0.44858208, 0.68944067, 0.52988124, -0.2065712
1968365.246585166, 001077, 0.25414413, 0.2908126, 0.6407332, -0.4472288, 0.6897409, 0.5312511, -0.20497875
1968365.263253541, 001078, 0.25606522, 0.29128343, 0.6420595, -0.44568345, 0.69019496, 0.5325069, -0.20355248
1968365.279921916, 001079, 0.2580251, 0.29174602, 0.6434644, -0.44451758, 0.6906523, 0.533623, -0.20161863
1968365.296590291, 001080, 0.25529504, 0.29084003, 0.6426872, -0.4438293, 0.6909612, 0.5347395, -0.19910282
1968365.313258666, 001081, 0.255777, 0.29082102, 0.643393, -0.44287425, 0.69134545, 0.53603435, -0.19639537
1968365.329926875, 001082, 0.25730544, 0.2910629, 0.64447975, -0.4413486, 0.69185853, 0.5374309, -0.19419383
1968365.346595416, 001083, 0.2591513, 0.29137588, 0.6456551, -0.4395951, 0.69227743, 0.53890413, -0.19258873
1968365.36326375, 001084, 0.26108587, 0.2917059, 0.6469125, -0.43813673, 0.6924213, 0.5404598, -0.19102935
1968365.379932083, 001085, 0.26307076, 0.29203212, 0.6482467, -0.43701485, 0.69265026, 0.5417727, -0.18903959
1968365.396600458, 001086, 0.26017153, 0.2913313, 0.64704007, -0.4359544, 0.6931609, 0.5427113, -0.18691243
1968365.413268833, 001087, 0.26058364, 0.29128948, 0.6474858, -0.43453163, 0.6937645, 0.543816, -0.18476276
1968365.42993725, 001088, 0.26204985, 0.29144815, 0.6484223, -0.43287194, 0.69415456, 0.54523695, -0.18299763
1968365.446605666, 001089, 0.26384246, 0.29167032, 0.6495097, -0.43126813, 0.69429535, 0.5468049, -0.18156642
1968365.463274, 001090, 0.2657417, 0.29189306, 0.6506466, -0.4298136, 0.6943998, 0.54828906, -0.18013424
